Entity Type,Word,Count
Disease,pain,260747
Disease,disease,95536
Disease,edema,92157
Disease,effusion,67944
Disease,failure,66713
Disease,of,65867
Disease,chest,59922
Disease,infection,59841
Disease,pulmonary,59734
Disease,pneumonia,57200
Disease,stenosis,56022
Disease,regurgitation,55428
Disease,bleeding,52425
Disease,hypertension,49266
Disease,aortic,49216
Disease,pleural,48545
Disease,artery,48032
Disease,fever,46565
Disease,breath,45892
Disease,shortness,42193
Disease,renal,40524
Disease,fracture,40449
Disease,mitral,40171
Disease,hemorrhage,40028
Disease,nausea,39299
Disease,abdominal,38484
Disease,fibrillation,37772
Disease,atrial,37402
Disease,hypotension,36319
Disease,ventricular,35168
Disease,"
",34387
Disease,anemia,33134
Disease,cough,32672
Disease,respiratory,31632
Disease,heart,31337
Disease,cancer,30888
Disease,",",30761
Disease,diarrhea,30094
Disease,left,30014
Disease,hematoma,28920
Disease,atelectasis,28891
Disease,HTN,28801
Disease,constipation,28637
Disease,vomiting,27957
Disease,Hypertension,27684
Disease,pericardial,27365
Disease,systolic,27159
Disease,bleed,27151
Disease,chills,25916
Disease,CAD,25327
Disease,chronic,24492
Disease,tachycardia,24065
Disease,CHF,23741
Disease,valve,23677
Disease,diabetes,23421
Disease,sepsis,22939
Disease,right,22620
Disease,s/p,22004
Disease,effusions,21119
Disease,tenderness,21071
Disease,dyspnea,21067
Disease,acute,20616
Disease,loss,20518
Disease,infarction,20340
Disease,coronary,19895
Disease,seizure,19749
Disease,headache,18687
Disease,distress,18435
Disease,COPD,18318
Disease,stroke,17257
Disease,bowel,16621
Disease,Allergies,16519
Disease,swelling,16249
Disease,pneumothorax,16177
Disease,ulcer,16161
Disease,ascites,16116
Disease,and,15698
Disease,*,15377
Disease,aneurysm,15351
Disease,ischemia,15203
Disease,blood,15109
Disease,fractures,15041
Disease,erythema,14944
Disease,liver,14741
Disease,hypotensive,14705
Disease,abscess,14485
Disease,dysfunction,14358
Disease,hypertrophy,14123
Disease,seizures,14103
Disease,thrombus,13860
Disease,Diabetes,13737
Disease,cirrhosis,13563
Disease,or,13331
Disease,wheezing,13266
Disease,lower,13245
Disease,the,12946
Disease,hernia,12865
Disease,lung,12715
Disease,cyanosis,12627
Disease,rash,12516
Disease,depression,12501
Disease,depressed,12429
Disease,Anemia,12257
Disease,-,12250
Disease,Denies,12227
Disease,mellitus,12138
Disease,thrombosis,12081
Disease,hypoxia,11937
Disease,syndrome,11936
Disease,abuse,11834
Disease,palpitations,11788
Disease,anxiety,11610
Disease,insufficiency,11416
Disease,trauma,11386
Disease,Atrial,11355
Disease,GI,11313
Disease,myocardial,11196
Disease,lymphadenopathy,11160
Disease,tumor,11055
Disease,septal,11045
Disease,Coronary,11030
Disease,sinus,10900
Disease,injury,10793
Disease,DVT,10782
Disease,bradycardia,10772
Disease,infarct,10564
Disease,encephalopathy,10410
Disease,congestive,10310
Disease,shock,10205
Disease,bacteremia,10195
Disease,weakness,10165
Disease,weight,10134
Disease,cardiac,10053
Disease,pancreatitis,9976
Disease,confusion,9942
Disease,leukocytosis,9780
Disease,dysuria,9748
Disease,Hyperlipidemia,9487
Disease,extremity,9467
Disease,obstruction,9366
Disease,congestion,9365
Disease,defect,9359
Disease,apnea,9341
Disease,"

",9331
Disease,Pain,9207
Disease,dizziness,9178
Disease,embolism,9173
Disease,atheroma,9096
Disease,Chronic,9076
Disease,colitis,9029
Disease,vascular,8958
Disease,urinary,8802
Disease,redness,8721
Disease,carcinoma,8687
Disease,fistula,8659
Disease,htn,8640
Disease,breast,8590
Disease,vessel,8583
Disease,fevers,8512
Disease,venous,8486
Disease,acidosis,8484
Disease,clubbing,8370
Disease,intracranial,8334
Disease,fatigue,8325
Disease,'s,8282
Disease,Depression,8254
Disease,SOB,8249
Disease,septic,8220
Disease,obstructive,8038
Disease,opacity,8037
Disease,hypertensive,8033
Disease,kidney,8022
Disease,throat,7908
Disease,tract,7838
Disease,agitation,7752
Disease,hepatitis,7677
Disease,dementia,7564
Disease,hyperlipidemia,7539
Disease,arrest,7464
Disease,emesis,7438
Disease,disorder,7293
Disease,GERD,7275
Disease,thrombocytopenia,7274
Disease,volume,7252
Disease,movements,7175
Disease,lightheadedness,7101
Disease,hydronephrosis,7003
Disease,Acute,6937
Disease,cardiomegaly,6869
Disease,cardiomyopathy,6867
Disease,malignancy,6830
Disease,block,6729
Disease,syncope,6723
Disease,small,6722
Disease,allergies,6713
Disease,orthopnea,6649
Disease,lobe,6637
Disease,calcification,6632
Disease,prolapse,6603
Disease,organomegaly,6586
Disease,cholecystitis,6508
Disease,tamponade,6465
Disease,Hypercholesterolemia,6433
Disease,endocarditis,6428
Disease,cell,6400
Disease,tricuspid,6399
Disease,upper,6341
Disease,ESRD,6306
Disease,drug,6273
Disease,febrile,6263
Disease,Hypothyroidism,6237
Disease,overload,6223
Disease,hemoptysis,6215
Disease,cellulitis,6158
Disease,Left,6124
Disease,hematuria,5962
Disease,Respiratory,5956
Disease,prematurity,5897
Disease,numbness,5889
Disease,peripheral,5880
Disease,wall,5869
Disease,Right,5787
Disease,myalgias,5778
Disease,RA,5743
Disease,dry,5725
Disease,asthma,5698
Disease,hypothyroidism,5697
Disease,hyponatremia,5684
Disease,sweats,5620
Disease,function,5596
Disease,hepatic,5588
Disease,back,5574
Disease,colon,5474
Disease,calcifications,5455
Disease,death,5415
Disease,copd,5408
Disease,gastrointestinal,5405
Disease,delirium,5371
Disease,diabetic,5353
Disease,esophageal,5331
Disease,gastritis,5319
Disease,osteomyelitis,5206
Disease,infectious,5161
Disease,inflammation,5118
Disease,neuropathy,5100
Disease,hematemesis,5073
Disease,NSTEMI,5057
Disease,Failure,4969
Disease,prostate,4962
Disease,head,4957
Disease,metabolic,4940
Disease,Pneumonia,4890
Disease,hydrocephalus,4861
Disease,Drug,4846
Disease,Aortic,4833
Disease,Adverse,4823
Disease,Reactions,4822
Disease,dehydration,4734
Disease,lesion,4702
Disease,obesity,4696
Disease,Congestive,4674
Disease,infections,4656
Disease,abnormalities,4653
Disease,diverticulosis,4648
Disease,Hypotension,4581
Disease,ARF,4574
Disease,hypoglycemia,4567
Disease,subarachnoid,4566
Disease,.,4546
Disease,mass,4524
Disease,hemorrhagic,4505
Disease,emphysema,4488
Disease,alcohol,4444
Disease,enlargement,4439
Disease,reflux,4428
Disease,headaches,4405
Disease,multiple,4402
Disease,ulcers,4391
Disease,depressions,4386
Disease,bibasilar,4370
Disease,arthritis,4358
Disease,melena,4324
Disease,tightness,4312
Disease,jaundice,4300
Disease,biliary,4271
Disease,insomnia,4253
Disease,diaphoresis,4233
Disease,tachypnea,4231
Disease,femoral,4221
Disease,angina,4217
Disease,[,4210
Disease,gout,4192
Disease,hypercholesterolemia,4159
Disease,groin,4143
Disease,Name9,4136
Disease,rashes,4112
Disease,rhinorrhea,4101
Disease,abnormal,4033
Disease,hepatosplenomegaly,4032
Disease,Renal,4018
Disease,atherosclerotic,3997
Disease,hyperkalemia,3957
Disease,PVD,3951
Disease,inferior,3943
Disease,opacification,3926
Disease,interstitial,3918
Disease,diverticulitis,3912
Disease,ischemic,3894
Disease,necrosis,3888
Disease,II,3875
Disease,psychiatric,3837
Disease,Edema,3824
Disease,NSR,3812
Disease,herniation,3801
Disease,rhonchi,3790
Disease,lethargy,3779
Disease,incontinence,3772
Disease,lymphoma,3759
Disease,nystagmus,3758
Disease,with,3754
Disease,Disease,3735
Disease,dilated,3731
Disease,gain,3721
Disease,Chest,3720
Disease,Trauma,3720
Disease,somnolent,3700
Disease,lesions,3694
Disease,hypokinesis,3661
Disease,bladder,3639
Disease,Fever,3632
Disease,],3608
Disease,valvular,3607
Disease,icterus,3595
Disease,dysphagia,3581
Disease,occlusion,3555
Disease,vein,3553
Disease,milk,3549
Disease,tachypneic,3539
Disease,embolus,3538
Disease,s,3534
Disease,GIB,3519
Disease,dermatitis,3492
Disease,adenocarcinoma,3490
Disease,rigors,3458
Disease,opacities,3452
Disease,Gout,3452
Disease,Pulmonary,3441
Disease,fibrosis,3418
Disease,tremors,3410
Disease,cerebral,3399
Disease,tremor,3388
Disease,thoracic,3361
Disease,diastolic,3360
Disease,abnormality,3351
Disease,CKD,3343
Disease,DKA,3342
Disease,arthralgias,3338
Disease,rupture,3323
Disease,dysarthria,3304
Disease,flutter,3297
Disease,MR,3291
Disease,neck,3248
Disease,p,3238
Disease,pallor,3236
Disease,traumatic,3235
Disease,Anxiety,3234
Disease,status,3223
Disease,airway,3211
Disease,difficile,3200
Disease,Dyslipidemia,3191
Disease,ileus,3190
Disease,wheeze,3188
Disease,normoactive,3182
Disease,cholangitis,3173
Disease,Sinus,3154
Disease,anterior,3146
Disease,Mellitus,3140
Disease,hyperglycemia,3138
Disease,OSA,3131
Disease,Sepsis,3116
Disease,coagulopathy,3109
Disease,knee,3102
Disease,carotid,3082
Disease,hypovolemia,3079
Disease,Peripheral,3077
Disease,allergy,3075
Disease,Fibrillation,3046
Disease,TIA,3028
Disease,2,2998
Disease,premature,2984
Disease,Type,2982
Disease,infarcts,2980
Disease,atrophy,2977
Disease,MM,2971
Disease,Extraocular,2956
Disease,esophagitis,2932
Disease,scoliosis,2918
Disease,overdose,2892
Disease,hemorrhoids,2886
Disease,pressure,2885
Disease,hyperbilirubinemia,2885
Disease,to,2867
Disease,meningitis,2861
Disease,contusion,2855
Disease,splenomegaly,2830
Disease,pancreatic,2823
Disease,sore,2803
Disease,adrenal,2803
Disease,frontal,2803
Disease,nephropathy,2782
Disease,DM,2776
Disease,prerenal,2765
Disease,type,2753
Disease,Hepatitis,2752
Disease,distention,2751
Disease,low,2737
Disease,ankle,2724
Disease,Urinary,2710
Disease,muscle,2706
Disease,dislocation,2705
Disease,urosepsis,2694
Disease,Abdominal,2694
Disease,strep,2641
Disease,hemolysis,2619
Disease,asterixis,2616
Disease,thyromegaly,2605
Disease,illness,2598
Disease,AV,2598
Disease,stage,2589
Disease,Seizure,2564
Disease,leg,2562
Disease,pseudoaneurysm,2552
Disease,Ventricle,2549
Disease,Heart,2539
Disease,primary,2538
Disease,R,2535
Disease,Artery,2534
Disease,pelvic,2525
Disease,hip,2510
Disease,hypernatremia,2509
Disease,skin,2488
Disease,',2487
Disease,cardiogenic,2483
Disease,duodenal,2462
Disease,cord,2458
